iter	Passed	Remaining
0	154	154787
1	159	79404
2	162	53988
3	165	41110
4	167	33415
5	170	28279
6	173	24676
7	177	22051
8	183	20209
9	189	18782
10	194	17496
11	197	16270
12	202	15374
13	206	14528
14	212	13982
15	216	13328
16	219	12707
17	224	12230
18	229	11850
19	233	11461
20	237	11078
21	240	10675
22	242	10307
23	245	9980
24	247	9646
25	249	9339
26	250	9039
27	252	8768
28	254	8514
29	255	8266
30	257	8043
31	258	7831
32	260	7632
33	262	7447
34	266	7336
35	268	7194
36	269	7025
37	271	6868
38	272	6713
39	273	6563
40	274	6430
41	276	6296
42	277	6166
43	278	6050
44	279	5940
45	281	5846
46	283	5743
47	285	5669
48	287	5577
49	288	5484
50	290	5397
51	291	5311
52	292	5231
53	294	5152
54	295	5071
55	296	4991
56	296	4912
57	297	4838
58	298	4765
59	299	4696
60	300	4628
61	301	4562
62	302	4497
63	303	4437
64	304	4376
65	305	4319
66	306	4266
67	306	4206
68	307	4153
69	308	4104
70	312	4092
71	313	4047
72	315	4000
73	318	3982
74	319	3941
75	323	3938
76	325	3897
77	327	3869
78	328	3828
79	329	3786
80	330	3744
81	331	3716
82	333	3687
83	336	3667
84	337	3631
85	338	3597
86	339	3557
87	339	3522
88	342	3507
89	345	3497
90	348	3476
91	353	3485
92	354	3461
93	358	3453
94	360	3434
95	364	3432
96	368	3428
97	370	3408
98	371	3384
99	373	3360
100	374	3334
101	375	3303
102	376	3282
103	378	3260
104	380	3239
105	381	3217
106	383	3197
107	384	3175
108	386	3156
109	387	3134
110	388	3111
111	389	3089
112	391	3072
113	392	3053
114	394	3036
115	395	3013
116	396	2995
117	398	2977
118	399	2954
119	400	2934
120	401	2918
121	405	2917
122	406	2898
123	408	2886
124	411	2879
125	413	2870
126	416	2861
127	419	2854
128	421	2842
129	423	2831
130	424	2816
131	425	2798
132	426	2782
133	428	2767
134	429	2750
135	430	2733
136	431	2717
137	432	2699
138	433	2683
139	434	2666
140	435	2651
141	436	2639
142	437	2623
143	438	2607
144	439	2592
145	440	2576
146	441	2562
147	442	2547
148	443	2532
149	444	2517
150	445	2502
151	445	2487
152	446	2472
153	447	2458
154	448	2443
155	449	2429
156	450	2416
157	451	2406
158	454	2404
159	456	2395
160	457	2385
161	461	2388
162	463	2377
163	466	2375
164	469	2374
165	470	2362
166	475	2369
167	478	2369
168	480	2361
169	481	2350
170	482	2338
171	483	2325
172	483	2312
173	484	2299
174	485	2286
175	485	2273
176	486	2260
177	486	2248
178	487	2235
179	488	2225
180	488	2212
181	490	2203
182	491	2193
183	491	2181
184	492	2170
185	493	2158
186	493	2147
187	494	2135
188	495	2124
189	496	2115
190	496	2104
191	497	2093
192	498	2083
193	499	2073
194	499	2063
195	500	2053
196	501	2043
197	501	2033
198	502	2023
199	503	2012
200	503	2003
201	504	1993
202	505	1984
203	506	1975
204	506	1965
205	507	1955
206	508	1947
207	508	1937
208	509	1928
209	510	1920
210	511	1911
211	512	1903
212	512	1894
213	513	1885
214	514	1876
215	516	1874
216	517	1866
217	518	1858
218	518	1849
219	519	1841
220	520	1833
221	520	1824
222	521	1816
223	521	1807
224	522	1799
225	523	1791
226	523	1783
227	524	1775
228	525	1768
229	525	1760
230	526	1752
231	527	1744
232	527	1736
233	528	1729
234	529	1722
235	529	1714
236	530	1707
237	530	1699
238	531	1692
239	532	1684
240	532	1677
241	533	1670
242	533	1663
243	534	1656
244	535	1648
245	535	1641
246	536	1634
247	536	1628
248	537	1621
249	538	1614
250	538	1607
251	539	1600
252	540	1594
253	540	1587
254	541	1581
255	541	1574
256	542	1568
257	543	1562
258	543	1555
259	544	1549
260	544	1542
261	545	1536
262	546	1530
263	546	1524
264	547	1517
265	547	1511
266	548	1505
267	549	1499
268	549	1493
269	550	1487
270	550	1481
271	551	1476
272	552	1470
273	552	1464
274	553	1458
275	553	1452
276	554	1447
277	555	1442
278	556	1437
279	556	1432
280	557	1426
281	558	1421
282	559	1416
283	559	1411
284	560	1406
285	561	1401
286	561	1395
287	562	1390
288	563	1385
289	564	1380
290	564	1376
291	565	1371
292	566	1366
293	567	1362
294	567	1357
295	568	1352
296	569	1349
297	571	1345
298	572	1342
299	573	1337
300	574	1333
301	574	1328
302	575	1323
303	575	1318
304	576	1313
305	577	1308
306	577	1303
307	578	1299
308	578	1294
309	579	1289
310	580	1285
311	580	1280
312	581	1276
313	582	1271
314	582	1267
315	583	1263
316	584	1259
317	585	1254
318	585	1250
319	586	1245
320	586	1241
321	587	1237
322	588	1232
323	588	1228
324	589	1223
325	589	1219
326	590	1215
327	591	1211
328	591	1206
329	592	1202
330	592	1198
331	593	1194
332	594	1190
333	594	1185
334	595	1181
335	595	1177
336	596	1173
337	597	1169
338	598	1166
339	598	1162
340	599	1158
341	600	1154
342	600	1150
343	601	1146
344	602	1142
345	602	1139
346	603	1135
347	603	1131
348	604	1127
349	605	1123
350	605	1119
351	606	1115
352	606	1112
353	607	1108
354	607	1104
355	608	1100
356	609	1097
357	609	1093
358	610	1089
359	611	1086
360	611	1082
361	612	1079
362	613	1077
363	614	1073
364	615	1070
365	615	1066
366	616	1063
367	617	1059
368	617	1056
369	618	1052
370	618	1049
371	619	1045
372	620	1042
373	620	1039
374	621	1035
375	622	1032
376	622	1028
377	623	1025
378	623	1022
379	624	1018
380	624	1015
381	625	1012
382	626	1008
383	626	1005
384	627	1002
385	628	999
386	628	996
387	629	992
388	630	989
389	630	986
390	631	983
391	631	980
392	632	976
393	633	973
394	633	970
395	634	967
396	634	964
397	635	961
398	636	957
399	636	954
400	637	951
401	637	948
402	638	945
403	639	942
404	639	940
405	640	937
406	641	934
407	641	931
408	642	928
409	643	925
410	643	922
411	644	919
412	645	916
413	645	913
414	646	911
415	647	908
416	647	905
417	648	902
418	648	899
419	649	896
420	650	894
421	650	891
422	651	888
423	651	885
424	652	882
425	653	879
426	653	877
427	654	874
428	654	871
429	655	869
430	656	866
431	656	863
432	657	860
433	658	858
434	658	855
435	659	852
436	659	850
437	660	847
438	661	844
439	661	842
440	662	839
441	662	836
442	663	834
443	664	831
444	664	829
445	665	826
446	666	824
447	666	821
448	667	819
449	668	816
450	668	814
451	669	811
452	670	809
453	670	806
454	671	804
455	672	801
456	672	799
457	673	797
458	674	794
459	674	792
460	675	789
461	675	787
462	676	784
463	677	782
464	677	779
465	678	777
466	678	774
467	679	772
468	680	770
469	680	767
470	681	765
471	682	762
472	682	760
473	683	758
474	683	755
475	684	753
476	685	751
477	685	748
478	686	746
479	686	744
480	687	741
481	688	739
482	688	737
483	689	734
484	689	732
485	690	730
486	691	728
487	691	725
488	692	723
489	693	721
490	693	719
491	694	716
492	695	715
493	696	713
494	696	710
495	697	708
496	698	706
497	698	704
498	699	702
499	700	700
500	700	698
501	701	695
502	702	693
503	702	691
504	703	689
505	703	687
506	704	685
507	705	683
508	705	680
509	706	678
510	707	677
511	708	675
512	709	673
513	710	671
514	710	669
515	711	667
516	711	664
517	712	662
518	712	660
519	713	658
520	714	656
521	714	654
522	715	652
523	716	650
524	716	648
525	717	646
526	717	644
527	718	642
528	719	640
529	719	638
530	721	637
531	723	636
532	723	634
533	724	632
534	725	630
535	727	629
536	728	628
537	729	626
538	730	624
539	730	622
540	731	620
541	732	618
542	733	617
543	733	615
544	734	613
545	735	611
546	736	609
547	736	607
548	737	605
549	737	603
550	738	601
551	739	599
552	739	597
553	740	596
554	740	594
555	741	592
556	742	590
557	742	588
558	743	586
559	744	584
560	744	582
561	745	580
562	745	579
563	746	577
564	747	575
565	747	573
566	749	572
567	750	570
568	751	568
569	751	567
570	752	565
571	753	563
572	755	563
573	756	561
574	757	560
575	759	558
576	762	558
577	763	557
578	765	556
579	766	554
580	767	553
581	767	551
582	768	549
583	770	548
584	772	547
585	773	546
586	774	545
587	776	543
588	777	542
589	778	540
590	779	539
591	779	537
592	780	535
593	781	534
594	782	532
595	783	531
596	784	529
597	785	527
598	786	526
599	787	524
600	788	523
601	789	521
602	790	520
603	791	518
604	792	517
605	793	515
606	794	514
607	795	512
608	796	511
609	796	509
610	797	507
611	798	506
612	799	504
613	800	502
614	801	501
615	801	499
616	802	498
617	803	496
618	804	495
619	805	493
620	808	493
621	812	493
622	813	492
623	814	490
624	815	489
625	817	488
626	817	486
627	818	484
628	819	483
629	820	481
630	821	480
631	821	478
632	822	476
633	823	475
634	824	473
635	824	472
636	825	470
637	826	469
638	827	467
639	828	466
640	829	464
641	830	462
642	830	461
643	831	459
644	832	458
645	833	456
646	833	454
647	834	453
648	835	451
649	835	450
650	836	448
651	837	446
652	838	445
653	838	443
654	839	442
655	840	440
656	841	439
657	842	437
658	844	437
659	848	437
660	849	435
661	853	435
662	854	434
663	855	432
664	855	431
665	856	429
666	857	428
667	858	426
668	858	424
669	859	423
670	860	421
671	861	420
672	862	418
673	862	417
674	863	415
675	864	414
676	867	414
677	868	412
678	869	411
679	871	409
680	872	408
681	873	407
682	874	406
683	876	405
684	878	404
685	880	402
686	881	401
687	883	400
688	884	399
689	885	397
690	886	396
691	887	394
692	888	393
693	889	392
694	890	391
695	891	389
696	892	388
697	893	386
698	894	385
699	894	383
700	895	382
701	896	380
702	897	379
703	898	377
704	899	376
705	899	374
706	900	373
707	901	371
708	902	370
709	903	369
710	904	367
711	905	366
712	906	364
713	907	363
714	909	362
715	910	361
716	912	359
717	912	358
718	913	357
719	914	355
720	915	354
721	915	352
722	916	351
723	917	349
724	917	348
725	918	346
726	919	345
727	919	343
728	920	342
729	920	340
730	921	339
731	922	337
732	922	336
733	923	334
734	923	333
735	924	331
736	925	330
737	925	328
738	926	327
739	926	325
740	927	324
741	928	322
742	929	321
743	929	319
744	930	318
745	930	316
746	931	315
747	932	314
748	932	312
749	933	311
750	934	309
