iter	Passed	Remaining
0	3	3438
1	4	2290
2	5	1858
3	6	1648
4	7	1576
5	8	1481
6	10	1426
7	11	1391
8	12	1349
9	13	1315
10	14	1299
11	18	1545
12	20	1587
13	22	1581
14	24	1577
15	26	1635
16	27	1606
17	28	1573
18	33	1743
19	35	1730
20	36	1713
21	38	1694
22	40	1713
23	41	1691
24	43	1703
25	44	1674
26	49	1801
27	51	1787
28	53	1801
29	55	1785
30	56	1780
31	67	2055
32	69	2033
33	70	2009
34	72	2000
35	73	1979
36	75	1962
37	79	2021
38	81	2004
39	82	1983
40	84	1968
41	85	1951
42	87	1937
43	88	1920
44	90	1920
45	100	2080
46	101	2060
47	103	2044
48	104	2026
49	112	2142
50	114	2124
51	115	2104
52	116	2085
53	118	2078
54	120	2066
55	121	2049
56	124	2061
57	126	2048
58	127	2030
59	128	2014
60	129	1998
61	131	1983
62	132	1973
63	134	1965
64	135	1953
65	139	1970
66	140	1959
67	142	1949
68	143	1936
69	145	1928
70	146	1920
71	148	1913
72	149	1903
73	151	1893
74	155	1911
75	156	1903
76	157	1892
77	160	1891
78	161	1883
79	163	1878
80	164	1868
81	166	1860
82	166	1842
83	169	1849
84	171	1845
85	172	1836
86	173	1825
87	175	1816
88	176	1807
89	178	1807
90	182	1827
91	184	1819
92	185	1809
93	187	1806
94	188	1798
95	190	1791
96	191	1783
97	192	1774
98	194	1767
99	200	1801
100	201	1793
101	203	1788
102	204	1781
103	206	1775
104	210	1790
105	211	1785
106	213	1780
107	214	1772
108	215	1765
109	217	1759
110	218	1752
111	220	1745
112	221	1738
113	225	1750
114	227	1750
115	231	1764
116	232	1756
117	234	1749
118	235	1743
119	236	1736
120	250	1821
121	251	1813
122	253	1805
123	259	1830
124	260	1823
125	262	1818
126	263	1808
127	264	1802
128	267	1804
129	281	1886
130	283	1878
131	294	1933
132	295	1925
133	296	1919
134	298	1912
135	308	1959
136	309	1951
137	311	1943
138	312	1937
139	314	1930
140	322	1962
141	323	1951
142	324	1945
143	325	1937
144	327	1929
145	331	1937
146	334	1938
147	335	1932
148	339	1936
149	341	1937
150	354	1994
151	356	1987
152	373	2065
153	379	2082
154	383	2088
155	384	2082
156	386	2073
157	387	2063
158	388	2054
159	389	2045
160	390	2034
161	394	2042
162	405	2084
163	414	2111
164	416	2106
165	417	2098
166	420	2096
167	421	2089
168	428	2106
169	429	2098
170	431	2091
171	433	2088
172	435	2082
173	437	2075
174	442	2083
175	443	2076
176	444	2068
177	446	2060
